%time,field.layout.data_offset,field.data0,field.data1,field.data2
1629697332471906596,0,-0.94,-0.44,0.22
1629697332542325511,0,-0.57,-1.06,0.64
1629697332548105849,0,-0.62,-0.82,0.41
1629697332568059328,0,-1.23,-0.51,0.36
1629697332599463534,0,-1.47,-0.33,0.32
1629697332632044344,0,-1.43,-0.57,0.27
1629697332664713246,0,-1.44,-0.61,0.13
1629697332699139517,0,-0.92,-0.71,-0.14
1629697332732142836,0,-0.63,-0.79,-0.32
1629697332771241234,0,-0.32,-0.74,-0.35
1629697332797412686,0,-0.26,-0.81,-0.28
1629697332828871875,0,-0.77,-0.5,-0.24
1629697332862298836,0,-0.56,-0.34,-0.52
1629697332895402959,0,-0.26,-0.69,-0.72
1629697332925255536,0,-0.13,-0.52,-0.84
1629697332959618910,0,-0.03,-0.41,-0.57
1629697332993178024,0,0.23,-0.35,-0.99
1629697333024918111,0,0.3,-0.06,-0.44
1629697333059358131,0,0.09,-0.09,-0.48
1629697333091881453,0,-0.09,-0.63,-0.07
1629697333125998554,0,-0.5,-0.21,0.16
1629697333154635281,0,-0.27,-0.54,0.79
1629697333186207337,0,0.08,-0.52,1.12
1629697333219083254,0,-0.08,0.41,1.28
1629697333254605486,0,0.11,0.04,1.08
1629697333285968977,0,0.15,-0.43,1.51
1629697333317326706,0,-0.06,0.06,1.46
1629697333352088351,0,-0.78,0.09,1.11
1629697333382277600,0,-1.81,-0.55,1.07
1629697333416745967,0,-1.92,-0.08,0.67
1629697333448550311,0,-1.22,-0.38,0.44
1629697333483700388,0,-1.15,-0.49,0.31
1629697333518012272,0,-1.89,0.14,0.03
1629697333551155582,0,-1.44,-0.43,0.12
1629697333585649680,0,-1.32,-0.58,0.13
1629697333614774670,0,-1.27,0.17,-0.48
1629697333647395232,0,-0.53,-0.08,-0.51
1629697333678884109,0,-0.69,-0.12,-0.44
1629697333716203198,0,-1.06,0.39,-0.64
1629697333747285464,0,-0.71,0.23,-0.23
1629697333779152620,0,-0.54,0.15,-0.27
1629697333812656318,0,-0.31,0.4,-0.64
1629697333844061274,0,-0.06,0.08,-0.46
1629697333876309477,0,-0.12,0.07,-0.32
1629697333913324800,0,-0.39,0.6,-0.07
1629697333946046140,0,-0.6,0.59,0.29
1629697333978766151,0,-0.92,0.55,0.93
1629697334015887511,0,-0.97,0.83,0.77
1629697334047045151,0,-0.54,0.3,0.84
1629697334077666182,0,-0.7,0.22,0.81
1629697334111197981,0,-0.77,0.5,0.63
1629697334141813841,0,-0.95,0.72,0.63
1629697334173561677,0,-1.35,0.9,0.72
1629697334207610880,0,-1.31,1.19,0.26
1629697334239803854,0,-0.81,0.67,0.09
1629697334273342355,0,-0.35,0.39,-0.09
1629697334307472634,0,-0.16,0.56,-0.43
1629697334339125333,0,-0.06,0.64,-0.38
1629697334372625812,0,-0.15,0.35,-0.07
1629697334407040336,0,-0.11,0.39,-0.04
1629697334438122842,0,0.03,0.35,0.05
1629697334482166236,0,0.09,0.12,0.11
1629697334504527868,0,0.17,0.02,0.29
1629697334532813848,0,0.02,0.34,0.47
1629697334566581775,0,-0.17,0.24,0.43
1629697334599790341,0,-0.17,-0.13,0.52
1629697334631254987,0,-0.11,0.08,0.36
1629697334666222193,0,-0.45,0.06,0.51
1629697334698652689,0,-0.83,0.28,0.15
1629697334732337462,0,-0.59,0.09,-0.03
1629697334764114331,0,-0.49,0.31,-0.18
1629697334793362790,0,-0.35,0.39,0.12
1629697334825074118,0,-0.27,0.27,0.07
1629697334858589456,0,-0.33,-0.02,0.0
1629697334888622965,0,0.0,-0.05,-0.12
1629697334924635619,0,0.3,-0.08,-0.17
1629697334957728736,0,0.19,0.07,-0.1
1629697334988987377,0,0.23,0.21,0.0
1629697335023380408,0,0.3,0.08,-0.68
1629697335056822506,0,0.38,-0.02,-0.37
1629697335088824396,0,0.49,-0.47,-0.08
1629697335131237696,0,0.45,-0.22,0.17
1629697335152506800,0,0.39,-0.11,0.21
1629697335184035290,0,0.41,-0.48,0.25
1629697335219728929,0,0.22,-0.57,0.33
1629697335251628148,0,-0.37,-0.5,0.82
1629697335285280807,0,-0.99,0.19,0.13
1629697335318921878,0,-1.08,0.02,0.4
1629697335350985782,0,-1.06,0.2,0.25
1629697335390098152,0,-0.9,0.24,0.02
1629697335419904979,0,-0.82,-0.09,-0.23
